topic,theme,area,learning_objective
Cyberinfrastructure,Computing Infrastructures,Computing Platforms,Why is cyberinfrastructure important to GIS?
Cyberinfrastructure,Computing Infrastructures,Computing Platforms,What are differences between cyberGIS and GIS?
Social Media Analytics,Networks and Services,Computing Platforms,"Define social media, social media analytics, natural language processing and text mining."
Social Media Analytics,Networks and Services,Computing Platforms,Describe the general workflow of social media analytics for geospatial applications.
Social Media Analytics,Networks and Services,Computing Platforms,"Discuss the file and database systems (e.g., NoSQL databases) can be leveraged to manage and manipulate social media data."
Social Media Analytics,Networks and Services,Computing Platforms,"Describe the techniques (e.g., text preprocessing and NLP) that can help computers analyze, understand, and derive meaning from human language."
Social Media Analytics,Networks and Services,Computing Platforms,Discuss spatial/spatiotemporal analysis and data mining algorithms and methods that can be used to reveal meaningful information and patterns from social media data.
Social Media Analytics,Networks and Services,Computing Platforms,"Discuss common geovisualization methods (e.g., graphs and maps) and tools for mapping and visualizing different components of the social media data (e.g., geo-tags, temporal information, and users)."
Social Media Analytics,Networks and Services,Computing Platforms,"Compare and contrast two geospatial applications that can leverage social media data from the perspectives of techniques, tools, and approaches to process and mine social media data."
Social Media Analytics,Networks and Services,Computing Platforms,What is the five-stage process for social media analytics?
Social Media Analytics,Networks and Services,Computing Platforms,How to select an appropriate database system to store and manage the social media data for a specific application?
Social Media Analytics,Networks and Services,Computing Platforms,How to discover the spatial patterns of the geo-tagged social media data related to a topic?
Social Media Analytics,Networks and Services,Computing Platforms,Any other geospatial application not discussed in this entry that can benefit from social media data? Describe how social media data should be managed and manipulated to support this application.
Social Networks,Networks and Services,Computing Platforms,Describe the purpose of a social network and what it can reveal about relationships.
Social Networks,Networks and Services,Computing Platforms,"Describe what nodes and edges represent, and the variables that can be ascribed to each."
Social Networks,Networks and Services,Computing Platforms,Explain how different metrics reveal the ‘importance’ of nodes or edges in a social network.
Social Networks,Networks and Services,Computing Platforms,List different properties that are used to describe an entire network.
Social Networks,Networks and Services,Computing Platforms,Report on how a social network can have spatial properties.
Social Networks,Networks and Services,Computing Platforms,Explain how a social network might interact with the built environment.
Social Networks,Networks and Services,Computing Platforms,"Describe how to put social network data into a GIS, and what kinds of analyses can be performed."
Social Networks,Networks and Services,Computing Platforms,Explain how 21st Century datasets have invigorated and broadened the uses of social networks.
Social Networks,Networks and Services,Computing Platforms,Explore the different ways a person (i.e. node) can be described by his or her role within the network vs.  his or her role in geographic space.
Social Networks,Networks and Services,Computing Platforms,Evaluate how might a social network tie (i.e. edge) predict behavior in geographic space.
Social Networks,Networks and Services,Computing Platforms,"Weigh the benefits and drawbacks of using self-report, surveys or interviews to create a social network vs. using big data to create a social network?"
